A0,27.5
A#0,29.1352350949
"B0,",30.8677063285
C1,32.7031956626
C#1,34.6478288721
D1,36.7080959897
D#1,38.8908729653
E1,41.2034446141
F1,43.6535289291
F#1,46.249302839
G1,48.9994294977
G#1,51.9130871975
A1,55
A#1,58.2704701898
B1,61.735412657
C2,65.4063913251
C#2,69.2956577442
D2,73.4161919794
D#2,77.7817459305
E2,82.4068892282
F2,87.3070578583
F#2,92.4986056779
G2,97.9988589954
G#2,103.826174395
A2,110
A#2,116.54094038
B2,123.470825314
C3,130.81278265
C#3,138.591315488
D3,146.832383959
D#3,155.563491861
E3,164.813778456
F3,174.614115717
F#3,184.997211356
G3,195.997717991
G#3,207.65234879
A3,220
A#3,233.081880759
B3,246.941650628
C4,261.625565301
C#4,277.182630977
D4,293.664767917
D#4,311.126983722
E4,329.627556913
F4,349.228231433
F#4,369.994422712
G4,391.995435982
G#,415.30469758
A4,440
A#4,466.163761518
B4,493.883301256
C5,523.251130601
C#5,554.365261954
D5,587.329535835
D#5,622.253967444
E5,659.255113826
F5,698.456462866
F#5,739.988845423
G5,783.990871963
G#5,830.60939516
A5,880
A#5,932.327523036
B5,987.766602512
C6,1046.5022612
C#6,1108.73052391
D6,1174.65907167
D#6,1244.50793489
E6,1318.51022765
F6,1396.91292573
F#6,1479.97769085
G6,1567.98174393
G#6,1661.21879032
A6,1760
A#6,1864.65504607
B6,1975.53320502
C7,2093.0045224
C#7,2217.46104781
D7,2349.31814334
D#7,2489.01586978
E7,2637.0204553
F7,2793.82585146
F#7,2959.95538169
G7,3135.96348785
G#7,3322.43758064
A7,3520
A#7,3729.31009214
B7,3951.06641005
C8,4186.00904481
